* Block Type = 96well
* Chemistry = SYBR_GREEN
* Experiment File Name = D:\Applied Biosystems\StepOne Software v2.3\experiments\Lardelli\Karissa\KB 20231126 q96 v naglu fam 1 naglu genotyping.eds
* Experiment Run End Time = 2023-11-26 08:47:52 AM PST
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	RQ	RQ Min	RQ Max	Cт	Cт Mean	Cт SD	ΔCт	ΔCт Mean	ΔCт SE	HK Control ΔCт Mean	HK Control ΔCт SE	ΔΔCт	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Efficiency	Tm1	Tm2	Tm3	Comments	BADROX	HIGHSD	NOISE	SPIKE	NOSIGNAL	EXPFAIL	MTP
A1	Sample 1	Target 1	UNKNOWN	SYBR	None				15.4761	16.2346	8.0225							true	17.9943	true	1	2	1	88.2766	81.7266	63.9758		Y	Y	N	N	N	N	Y
A2	Sample 1	Target 1	UNKNOWN	SYBR	None				Undetermined	16.2346	8.0225							true	17.9943	true	3	23	1	88.2839	81.6176	63.363		Y	N	N	Y	N	N	Y
A3	Sample 1	Target 1	UNKNOWN	SYBR	None				6.0444	16.2346	8.0225							true	17.9943	true	1	2	1	83.0785	80.0185			Y	Y	N	Y	N	N	Y
A4	Sample 1	Target 1	UNKNOWN	SYBR	None				9.7842	16.2346	8.0225							true	17.9943	true	1	2	1	80.6066				Y	Y	N	N	N	N	N
A5	Sample 1	Target 1	UNKNOWN	SYBR	None				8.9627	16.2346	8.0225							true	17.9943	true	1	2	1	88.4616	83.8551	81.5713		Y	Y	N	N	N	N	Y
A6	Sample 1	Target 1	UNKNOWN	SYBR	None				11.471	16.2346	8.0225							true	17.9943	true	1	2	1	88.4686	81.5009	63.1138		Y	Y	N	N	N	N	Y
A7	Sample 1	Target 1	UNKNOWN	SYBR	None				11.9533	16.2346	8.0225							true	17.9943	true	1	2	1	80.5781				Y	Y	N	N	N	N	N
A8	Sample 1	Target 1	UNKNOWN	SYBR	None				12.5529	16.2346	8.0225							true	17.9943	true	1	2	1	83.0631	80.0818			Y	Y	N	N	N	N	Y
A9	Sample 1	Target 1	UNKNOWN	SYBR	None				22.3963	16.2346	8.0225							true	17.9943	true	3	12	1	83.2216	79.9704			Y	Y	N	Y	N	N	Y
A10	Sample 1	Target 1	UNKNOWN	SYBR	None				11.4252	16.2346	8.0225							true	17.9943	true	1	2	1	80.8677				Y	Y	N	N	N	N	N
A11	Sample 1	Target 1	UNKNOWN	SYBR	None				4.2972	16.2346	8.0225							true	17.9943	true	1	2	1	80.2844				Y	Y	N	Y	N	N	N
A12	Sample 1	Target 1	UNKNOWN	SYBR	None				20.1847	16.2346	8.0225							true	17.9943	true	1	2	1	83.0008				Y	Y	N	N	N	N	N
B1	Sample 1	Target 1	UNKNOWN	SYBR	None				8.8975	16.2346	8.0225							true	17.9943	true	1	2	1	82.7735	79.6341			Y	Y	N	Y	N	N	Y
B2	Sample 1	Target 1	UNKNOWN	SYBR	None				Undetermined	16.2346	8.0225							true	17.9943	true	3	8	1	83.0125				Y	N	N	Y	N	N	N
B3	Sample 1	Target 1	UNKNOWN	SYBR	None				11.0437	16.2346	8.0225							true	17.9943	true	1	2	1	82.924				Y	Y	N	Y	N	N	N
B4	Sample 1	Target 1	UNKNOWN	SYBR	None				28.3602	16.2346	8.0225							true	17.9943	true	3	24	1	80.6062				Y	Y	N	Y	N	N	N
B5	Sample 1	Target 1	UNKNOWN	SYBR	None				6.5222	16.2346	8.0225							true	17.9943	true	1	2	1	83.1975				Y	Y	N	Y	N	N	N
B6	Sample 1	Target 1	UNKNOWN	SYBR	None				27.4826	16.2346	8.0225							true	17.9943	true	3	14	1	83.3198	80.2617			Y	Y	N	Y	N	N	Y
B7	Sample 1	Target 1	UNKNOWN	SYBR	None				13.4544	16.2346	8.0225							true	17.9943	true	3	11	1	82.9404				Y	Y	N	Y	N	N	N
B8	Sample 1	Target 1	UNKNOWN	SYBR	None				26.1942	16.2346	8.0225							true	17.9943	true	3	17	1	80.7396				Y	Y	N	N	N	N	N
B9	Sample 1	Target 1	UNKNOWN	SYBR	None				26.2266	16.2346	8.0225							true	17.9943	true	3	7	1	82.8737				Y	Y	N	Y	N	N	N
B10	Sample 1	Target 1	UNKNOWN	SYBR	None				19.8584	16.2346	8.0225							true	17.9943	true	1	3	1	80.6351				Y	Y	N	N	N	N	N
B11	Sample 1	Target 1	UNKNOWN	SYBR	None				29.4621	16.2346	8.0225							true	17.9943	true	3	22	1	82.5682	67.3583			N	Y	N	Y	N	N	Y
B12	Sample 1	Target 1	UNKNOWN	SYBR	None				17.6992	16.2346	8.0225							true	17.9943	true	1	3	1	83.1165	80.1751			Y	Y	N	Y	N	N	Y
C1	Sample 1	Target 1	UNKNOWN	SYBR	None				26.6756	16.2346	8.0225							true	17.9943	true	3	20	1	83.0838	74.0921			Y	Y	N	Y	N	N	Y
C2	Sample 1	Target 1	UNKNOWN	SYBR	None				9.9512	16.2346	8.0225							true	17.9943	true	1	2	1	83.2448	80.2605			Y	Y	Y	Y	N	N	Y
C3	Sample 1	Target 1	UNKNOWN	SYBR	None				15.2739	16.2346	8.0225							true	17.9943	true	1	2	1	83.0792	80.0579			Y	Y	N	N	N	N	Y
C4	Sample 1	Target 1	UNKNOWN	SYBR	None				25.1818	16.2346	8.0225							true	17.9943	true	3	19	1	82.8913				Y	Y	N	Y	N	N	N
C5	Sample 1	Target 1	UNKNOWN	SYBR	None				28.9017	16.2346	8.0225							true	17.9943	true	3	21	1	83.3139	80.4494			Y	Y	N	Y	N	N	Y
